transaction_id,product_name,product_category,quantity_sold,unit_price,date_of_transaction,total_amount,inventory_stock
TXN-06010,Sponge Scrub (2S),Household Supplies,3,35.43,2022-01-14,106.29,172
TXN-03071,Coffee Sachet (10S),Grocery,3,62.93,2022-01-14,188.79,54
TXN-03649,"Bond Paper (Short, 10S)",School & Office Supplies,5,29.23,2022-01-14,146.15,257
TXN-05560,White Rice 2Kg,Grocery,4,120.82,2022-01-14,483.28,156
TXN-02126,Screen Protector,Electronics,2,98.42,2022-01-14,196.84,232
TXN-05748,Energy Drink 250Ml,Food & Snacks,7,47.17,2022-01-14,330.19,343
TXN-04113,Pencil,School & Office Supplies,3,10.08,2022-01-14,30.24,197
TXN-04074,Mosquito Coil (10S),Household Supplies,3,56.68,2022-01-14,170.04,435
TXN-03001,Peanuts 100G,Food & Snacks,6,28.75,2022-01-15,172.5,10
TXN-05958,Potato Chips 60G,Food & Snacks,2,36.04,2022-01-15,72.08,224
TXN-03091,Canned Sardines,Grocery,5,28.17,2022-01-15,140.85,36
TXN-05457,"Bond Paper (Short, 10S)",School & Office Supplies,5,31.09,2022-01-15,155.45,174
TXN-02304,Toothpaste 75G,Personal Care,2,67.23,2022-01-16,134.46,264
TXN-04416,Soy Sauce 350Ml,Grocery,5,34.79,2022-01-16,173.95,183
TXN-02305,Vinegar 350Ml,Grocery,4,29.85,2022-01-16,119.4,255
TXN-04107,Bread Loaf,Food & Snacks,5,62.9,2022-01-16,314.5,210
TXN-01577,Floor Mop,Household Supplies,3,258.15,2022-01-16,774.45,248
TXN-02933,Vinegar 350Ml,Grocery,6,31.22,2022-01-16,187.32,145
TXN-06398,Ballpen (Black),School & Office Supplies,1,11.9,2022-01-16,11.9,177
TXN-04200,Chocolate Bar,Food & Snacks,3,30.25,2022-01-16,90.75,18
TXN-04885,Bluetooth Speaker,Electronics,1,1535.06,2022-01-16,1535.06,233
TXN-04548,Mosquito Coil (10S),Household Supplies,1,56.37,2022-01-17,56.37,428
TXN-03369,Peanuts 100G,Food & Snacks,5,28.86,2022-01-17,144.3,326
TXN-06075,Potato Chips 60G,Food & Snacks,10,36.46,2022-01-17,364.6,208
TXN-06043,Air Freshener Spray,Household Supplies,1,123.2,2022-01-17,123.2,39
TXN-01410,Peanuts 100G,Food & Snacks,4,27.0,2022-01-17,108.0,249
TXN-02618,Ballpen (Black),School & Office Supplies,5,11.45,2022-01-18,57.25,383
TXN-01968,White Rice 2Kg,Grocery,8,118.43,2022-01-18,947.44,272
TXN-01183,White Rice 2Kg,Grocery,3,115.81,2022-01-18,347.43,399
TXN-01810,Sugar 1Kg,Grocery,6,73.08,2022-01-18,438.48,102
TXN-03666,Softdrink 1.5L,Food & Snacks,5,66.11,2022-01-18,330.55,125
TXN-01251,Fabric Conditioner 500Ml,Household Supplies,1,90.81,2022-01-18,90.81,318
TXN-04333,Potato Chips 60G,Food & Snacks,3,33.53,2022-01-19,100.59,436
TXN-03152,Facial Wash 50Ml,Personal Care,1,119.66,2022-01-19,119.66,348
TXN-01370,Juice Drink 250Ml,Food & Snacks,10,18.55,2022-01-19,185.5,403
TXN-01081,Soy Sauce 350Ml,Grocery,1,34.66,2022-01-19,34.66,328
TXN-04999,Softdrink 1.5L,Food & Snacks,8,66.65,2022-01-19,533.2,187
TXN-02374,Lollipop Candy,Food & Snacks,2,5.22,2022-01-19,10.44,257
TXN-05080,White Rice 2Kg,Grocery,8,121.78,2022-01-19,974.24,253
TXN-01920,Evaporated Milk,Grocery,7,41.53,2022-01-20,290.71,126
TXN-02578,Alcohol 70% 500Ml,Personal Care,3,98.55,2022-01-20,295.65,378
TXN-06322,Energy Drink 250Ml,Food & Snacks,10,45.38,2022-01-20,453.8,269
TXN-05543,Instant Noodles (Pack),Grocery,5,15.72,2022-01-20,78.6,296
TXN-02182,Candle (6S),Household Supplies,1,44.21,2022-01-20,44.21,407
TXN-04167,Toothbrush,Personal Care,3,54.94,2022-01-20,164.82,93
TXN-05671,Potato Chips 60G,Food & Snacks,4,33.87,2022-01-21,135.48,267
TXN-04422,Toothbrush,Personal Care,2,55.62,2022-01-21,111.24,80
TXN-01900,Instant Noodles (Pack),Grocery,8,14.55,2022-01-21,116.4,481
TXN-06056,Coffee Sachet (10S),Grocery,6,68.03,2022-01-21,408.18,74
TXN-01942,Biscuit Pack,Food & Snacks,5,23.89,2022-01-22,119.45,3
TXN-01925,Biscuit Pack,Food & Snacks,5,26.21,2022-01-22,131.05,21
TXN-01783,Bread Loaf,Food & Snacks,5,65.34,2022-01-22,326.7,145
TXN-04623,Broom (Walis Tingting),Household Supplies,3,63.11,2022-01-22,189.33,347
TXN-04544,Power Bank 10000Mah,Electronics,1,905.2,2022-01-22,905.2,178
TXN-01174,Deodorant Roll-On,Personal Care,3,86.22,2022-01-22,258.66,250
TXN-02410,Coffee Sachet (10S),Grocery,8,63.68,2022-01-23,509.44,189
TXN-01157,Soy Sauce 350Ml,Grocery,4,36.66,2022-01-24,146.64,309
TXN-06496,Extension Cord,Electronics,2,341.79,2022-01-24,683.58,97
TXN-04727,Wireless Earbuds,Electronics,2,1281.05,2022-01-24,2562.1,231
TXN-04532,Biscuit Pack,Food & Snacks,7,24.82,2022-01-24,173.74,416
TXN-03451,Trash Bag (10S),Household Supplies,1,52.65,2022-01-24,52.65,318
TXN-01013,Peanuts 100G,Food & Snacks,3,26.6,2022-01-25,79.8,284
TXN-02939,White Rice 2Kg,Grocery,8,125.69,2022-01-25,1005.52,106
TXN-05489,Canned Sardines,Grocery,2,28.63,2022-01-25,57.26,131
TXN-05193,Lollipop Candy,Food & Snacks,1,4.81,2022-01-26,4.81,360
TXN-05797,Dishwashing Liquid 500Ml,Household Supplies,1,77.64,2022-01-26,77.64,245
TXN-03677,Bottled Water 1.5L,Grocery,6,25.21,2022-01-26,151.26,14
TXN-02505,Chocolate Bar,Food & Snacks,3,29.01,2022-01-26,87.03,215
TXN-02556,Floor Mop,Household Supplies,3,249.57,2022-01-26,748.71,234
TXN-06360,Energy Drink 250Ml,Food & Snacks,7,44.06,2022-01-26,308.42,253
TXN-06420,Energy Drink 250Ml,Food & Snacks,4,43.61,2022-01-26,174.44,249
TXN-03716,Biscuit Pack,Food & Snacks,5,24.77,2022-01-27,123.85,134
TXN-05867,Chocolate Bar,Food & Snacks,1,29.83,2022-01-27,29.83,53
TXN-02103,Ice Cream Cup,Food & Snacks,3,34.74,2022-01-27,104.22,281
TXN-03200,Facial Wash 50Ml,Personal Care,1,122.48,2022-01-27,122.48,347
TXN-04393,Juice Drink 250Ml,Food & Snacks,2,17.34,2022-01-27,34.68,177
TXN-06156,Ballpen (Black),School & Office Supplies,1,11.47,2022-01-27,11.47,188
TXN-04898,Bread Loaf,Food & Snacks,3,61.76,2022-01-27,185.28,109
TXN-01792,Led Desk Lamp,Electronics,1,568.39,2022-01-28,568.39,473
TXN-05182,Facial Wash 50Ml,Personal Care,3,115.67,2022-01-28,347.01,261
TXN-04376,Biscuit Pack,Food & Snacks,6,23.76,2022-01-29,142.56,9
TXN-02040,Phone Case,Electronics,1,196.59,2022-01-29,196.59,364
TXN-04694,Dishwashing Liquid 500Ml,Household Supplies,1,74.17,2022-01-30,74.17,270
TXN-01163,Evaporated Milk,Grocery,3,43.95,2022-01-30,131.85,274
TXN-03764,Toothbrush,Personal Care,1,56.77,2022-01-30,56.77,119
TXN-02398,Toothpaste 75G,Personal Care,1,65.01,2022-01-31,65.01,256
TXN-01886,Bottled Water 1.5L,Grocery,4,25.7,2022-01-31,102.8,35
TXN-03488,Juice Drink 250Ml,Food & Snacks,5,18.2,2022-01-31,91.0,67
TXN-02684,Lotion 200Ml,Personal Care,3,141.94,2022-02-01,425.82,131
TXN-05192,Sanitary Napkin (8S),Personal Care,1,80.93,2022-02-01,80.93,236
TXN-05728,Trash Bag (10S),Household Supplies,1,56.78,2022-02-01,56.78,272
TXN-06487,Extension Cord,Electronics,2,334.68,2022-02-01,669.36,99
TXN-01180,White Rice 2Kg,Grocery,1,125.45,2022-02-02,125.45,402
TXN-04235,Digital Alarm Clock,Electronics,1,305.44,2022-02-02,305.44,376
TXN-04009,White Rice 2Kg,Grocery,1,119.78,2022-02-02,119.78,402
TXN-04563,Wireless Earbuds,Electronics,1,1309.12,2022-02-02,1309.12,237
TXN-01052,Cooking Oil 1L,Grocery,1,88.11,2022-02-02,88.11,316
TXN-01123,Stapler,School & Office Supplies,2,205.43,2022-02-02,410.86,331
TXN-03307,Sugar 1Kg,Grocery,5,74.25,2022-02-02,371.25,281
TXN-06249,Sugar 1Kg,Grocery,2,73.14,2022-02-02,146.28,122
TXN-01548,Air Freshener Spray,Household Supplies,1,131.65,2022-02-03,131.65,149
TXN-05672,Peanuts 100G,Food & Snacks,6,26.82,2022-02-03,160.92,104
TXN-04608,Lollipop Candy,Food & Snacks,1,4.95,2022-02-03,4.95,440
TXN-04050,Fabric Conditioner 500Ml,Household Supplies,1,99.53,2022-02-03,99.53,251
TXN-05108,Bluetooth Speaker,Electronics,2,1533.95,2022-02-03,3067.9,231
TXN-03442,Toothpaste 75G,Personal Care,1,63.54,2022-02-03,63.54,200
TXN-04557,Peanuts 100G,Food & Snacks,1,27.95,2022-02-03,27.95,197
TXN-02753,Chocolate Bar,Food & Snacks,3,29.3,2022-02-03,87.9,168
TXN-06000,Bath Soap,Personal Care,4,46.72,2022-02-03,186.88,44
TXN-04860,Peanuts 100G,Food & Snacks,8,29.05,2022-02-03,232.4,166
TXN-03908,Evaporated Milk,Grocery,6,41.13,2022-02-04,246.78,64
TXN-05367,White Rice 2Kg,Grocery,6,117.93,2022-02-04,707.58,171
TXN-01553,Energy Drink 250Ml,Food & Snacks,9,44.71,2022-02-04,402.39,197
TXN-04040,Potato Chips 60G,Food & Snacks,4,33.79,2022-02-04,135.16,472
TXN-04493,Lollipop Candy,Food & Snacks,9,4.85,2022-02-05,43.65,446
TXN-02438,Biscuit Pack,Food & Snacks,4,24.84,2022-02-05,99.36,378
TXN-01635,Peanuts 100G,Food & Snacks,3,27.44,2022-02-05,82.32,205
TXN-01230,Facial Wash 50Ml,Personal Care,4,116.66,2022-02-05,466.64,431
TXN-04215,Power Bank 10000Mah,Electronics,1,902.0,2022-02-05,902.0,186
TXN-01444,Pencil,School & Office Supplies,6,10.14,2022-02-06,60.84,311
TXN-04096,Shampoo Sachet,Personal Care,1,7.83,2022-02-06,7.83,47
TXN-02797,Bread Loaf,Food & Snacks,9,65.65,2022-02-06,590.85,51
TXN-05181,Vinegar 350Ml,Grocery,4,31.21,2022-02-06,124.84,184
TXN-04580,Air Freshener Spray,Household Supplies,1,134.44,2022-02-06,134.44,71
TXN-04338,Soy Sauce 350Ml,Grocery,2,33.67,2022-02-06,67.34,194
TXN-03788,Lollipop Candy,Food & Snacks,8,5.08,2022-02-07,40.64,59
TXN-06264,Vinegar 350Ml,Grocery,5,29.66,2022-02-07,148.3,238
TXN-04225,Screen Protector,Electronics,1,101.57,2022-02-07,101.57,210
TXN-01097,Fabric Conditioner 500Ml,Household Supplies,1,98.89,2022-02-07,98.89,324
TXN-04770,Ballpen (Black),School & Office Supplies,3,12.24,2022-02-07,36.72,272
TXN-01091,Canned Sardines,Grocery,7,28.08,2022-02-07,196.56,336
TXN-04036,Electric Fan (Desk),Electronics,1,834.3,2022-02-08,834.3,402
TXN-03426,Vinegar 350Ml,Grocery,1,30.46,2022-02-08,30.46,106
TXN-01379,Canned Sardines,Grocery,7,27.41,2022-02-08,191.87,306
TXN-01391,Led Desk Lamp,Electronics,1,533.52,2022-02-08,533.52,475
TXN-05793,Coffee Sachet (10S),Grocery,5,68.08,2022-02-08,340.4,169
TXN-03660,Alcohol 70% 500Ml,Personal Care,2,97.8,2022-02-08,195.6,318
TXN-02163,Scotch Tape,School & Office Supplies,1,24.44,2022-02-08,24.44,310
TXN-06125,Alcohol 70% 500Ml,Personal Care,4,98.26,2022-02-09,393.04,252
TXN-05407,Energy Drink 250Ml,Food & Snacks,6,43.1,2022-02-09,258.6,13
TXN-06180,Chocolate Bar,Food & Snacks,6,29.49,2022-02-09,176.94,328
TXN-03791,Trash Bag (10S),Household Supplies,2,54.27,2022-02-09,108.54,310
TXN-02417,Sanitary Napkin (8S),Personal Care,1,76.44,2022-02-10,76.44,343
TXN-06096,Energy Drink 250Ml,Food & Snacks,1,43.69,2022-02-10,43.69,316
TXN-04859,Sanitary Napkin (8S),Personal Care,3,74.16,2022-02-10,222.48,251
TXN-06268,Sanitary Napkin (8S),Personal Care,2,80.82,2022-02-11,161.64,180
TXN-05008,Coffee Sachet (10S),Grocery,7,67.23,2022-02-11,470.61,77
TXN-01046,Canned Sardines,Grocery,3,28.69,2022-02-12,86.07,343
TXN-06149,Bottled Water 1.5L,Grocery,2,24.61,2022-02-12,49.22,25
TXN-04313,Screen Protector,Electronics,2,101.67,2022-02-12,203.34,207
TXN-04543,Biscuit Pack,Food & Snacks,3,25.12,2022-02-12,75.36,413
TXN-05400,Ballpen (Black),School & Office Supplies,6,12.13,2022-02-13,72.78,221
TXN-05140,Lotion 200Ml,Personal Care,1,150.6,2022-02-13,150.6,430
TXN-04279,Facial Wash 50Ml,Personal Care,2,118.24,2022-02-13,236.48,296
TXN-05303,White Rice 2Kg,Grocery,6,121.99,2022-02-13,731.94,191
TXN-03834,Lollipop Candy,Food & Snacks,3,5.2,2022-02-13,15.6,52
TXN-06154,Cooking Oil 1L,Grocery,6,93.33,2022-02-13,559.98,230
TXN-03360,Canned Sardines,Grocery,3,29.37,2022-02-13,88.11,5
TXN-04072,Bread Loaf,Food & Snacks,5,63.51,2022-02-14,317.55,215
TXN-04973,Eraser,School & Office Supplies,4,14.45,2022-02-14,57.8,4
TXN-01760,Energy Drink 250Ml,Food & Snacks,5,46.33,2022-02-15,231.65,159
TXN-02292,Evaporated Milk,Grocery,1,41.1,2022-02-15,41.1,73
TXN-02744,Sanitary Napkin (8S),Personal Care,1,81.69,2022-02-15,81.69,334
TXN-02842,Air Freshener Spray,Household Supplies,1,123.33,2022-02-15,123.33,124
TXN-02674,Stapler,School & Office Supplies,4,193.39,2022-02-15,773.56,225
TXN-04132,Fabric Conditioner 500Ml,Household Supplies,2,93.24,2022-02-15,186.48,246
TXN-05076,Ice Cream Cup,Food & Snacks,5,34.83,2022-02-15,174.15,270
TXN-01587,Lollipop Candy,Food & Snacks,9,4.83,2022-02-16,43.47,391
TXN-01130,Trash Bag (10S),Household Supplies,1,57.75,2022-02-16,57.75,366
TXN-02293,Pencil,School & Office Supplies,4,9.81,2022-02-16,39.24,277
TXN-02700,Notebook 80 Leaves,School & Office Supplies,4,57.4,2022-02-16,229.6,378
TXN-02261,Cotton Balls,Personal Care,1,36.64,2022-02-16,36.64,141
TXN-03172,Toothbrush,Personal Care,2,53.63,2022-02-16,107.26,160
TXN-01357,White Rice 2Kg,Grocery,4,125.49,2022-02-17,501.96,377
TXN-01290,"Bond Paper (Short, 10S)",School & Office Supplies,2,30.35,2022-02-17,60.7,430
TXN-02320,Ballpen (Black),School & Office Supplies,6,12.14,2022-02-17,72.84,399
TXN-06175,Dishwashing Liquid 500Ml,Household Supplies,2,74.23,2022-02-17,148.46,226
TXN-01905,Softdrink 1.5L,Food & Snacks,2,66.53,2022-02-17,133.06,204
TXN-03773,White Rice 2Kg,Grocery,2,116.96,2022-02-17,233.92,455
TXN-02058,Coffee Sachet (10S),Grocery,6,66.23,2022-02-18,397.38,243
TXN-05230,Potato Chips 60G,Food & Snacks,1,35.6,2022-02-18,35.6,320
TXN-01465,Broom (Walis Tingting),Household Supplies,2,66.08,2022-02-18,132.16,403
TXN-01916,Softdrink 1.5L,Food & Snacks,9,67.52,2022-02-18,607.68,195
TXN-02003,Sugar 1Kg,Grocery,4,72.46,2022-02-18,289.84,76
TXN-06246,Canned Sardines,Grocery,5,27.91,2022-02-18,139.55,33
TXN-04464,Cotton Balls,Personal Care,1,33.94,2022-02-18,33.94,62
TXN-01588,Sugar 1Kg,Grocery,1,77.96,2022-02-18,77.96,162
TXN-02679,Biscuit Pack,Food & Snacks,4,24.78,2022-02-19,99.12,335
TXN-02349,Sanitary Napkin (8S),Personal Care,2,76.74,2022-02-19,153.48,352
TXN-03548,Scotch Tape,School & Office Supplies,5,25.83,2022-02-19,129.15,229
TXN-02507,Soy Sauce 350Ml,Grocery,6,35.33,2022-02-20,211.98,148
TXN-05669,Highlighter,School & Office Supplies,4,44.74,2022-02-20,178.96,326
TXN-02984,Soy Sauce 350Ml,Grocery,2,35.6,2022-02-20,71.2,65
TXN-02127,Wireless Earbuds,Electronics,1,1244.2,2022-02-20,1244.2,263
TXN-02850,Soy Sauce 350Ml,Grocery,2,33.46,2022-02-21,66.92,96
TXN-03304,Bath Soap,Personal Care,1,45.46,2022-02-21,45.46,157
TXN-02572,Scotch Tape,School & Office Supplies,5,24.28,2022-02-21,121.4,273
TXN-05965,Ballpen (Black),School & Office Supplies,5,12.2,2022-02-21,61.0,204
TXN-01536,Fabric Conditioner 500Ml,Household Supplies,2,91.9,2022-02-21,183.8,316
TXN-03760,Digital Alarm Clock,Electronics,2,312.88,2022-02-21,625.76,386
TXN-02414,Sanitary Napkin (8S),Personal Care,2,81.56,2022-02-21,163.12,344
TXN-05837,Lotion 200Ml,Personal Care,1,142.4,2022-02-21,142.4,386
TXN-01793,Canned Sardines,Grocery,4,28.32,2022-02-22,113.28,247
TXN-01397,Sponge Scrub (2S),Household Supplies,1,34.37,2022-02-22,34.37,292
TXN-04559,Ice Cream Cup,Food & Snacks,1,34.31,2022-02-23,34.31,315
TXN-06277,Evaporated Milk,Grocery,8,43.72,2022-02-23,349.76,333
TXN-01786,Fabric Conditioner 500Ml,Household Supplies,1,98.43,2022-02-23,98.43,309
TXN-04605,Toothbrush,Personal Care,4,54.25,2022-02-23,217.0,67
TXN-02909,Juice Drink 250Ml,Food & Snacks,2,18.11,2022-02-25,36.22,177
TXN-01841,Cooking Oil 1L,Grocery,5,88.61,2022-02-25,443.05,239
TXN-05908,Biscuit Pack,Food & Snacks,8,25.83,2022-02-25,206.64,208
TXN-04867,Lollipop Candy,Food & Snacks,1,4.95,2022-02-26,4.95,411
TXN-05323,Highlighter,School & Office Supplies,6,44.68,2022-02-26,268.08,338
TXN-05164,Evaporated Milk,Grocery,7,41.27,2022-02-26,288.89,143
TXN-03257,Biscuit Pack,Food & Snacks,7,25.97,2022-02-27,181.79,226
TXN-01957,Toothpaste 75G,Personal Care,1,62.92,2022-02-27,62.92,275
TXN-03959,Air Freshener Spray,Household Supplies,3,130.56,2022-02-27,391.68,96
TXN-03223,Cooking Oil 1L,Grocery,3,91.56,2022-02-27,274.68,18
TXN-05244,Vinegar 350Ml,Grocery,4,29.26,2022-02-27,117.04,166
TXN-06183,Cotton Balls,Personal Care,3,34.31,2022-02-27,102.93,327
TXN-03159,Air Freshener Spray,Household Supplies,2,123.96,2022-02-27,247.92,119
TXN-03393,Trash Bag (10S),Household Supplies,2,56.89,2022-02-28,113.78,324
TXN-03290,Staple Wire,School & Office Supplies,4,34.04,2022-02-28,136.16,240
TXN-05969,Ice Cream Cup,Food & Snacks,2,34.84,2022-03-01,69.68,186
TXN-02070,Sanitary Napkin (8S),Personal Care,2,77.51,2022-03-01,155.02,365
TXN-03891,Chocolate Bar,Food & Snacks,3,30.45,2022-03-01,91.35,61
TXN-04253,Extension Cord,Electronics,2,331.56,2022-03-01,663.12,128
TXN-04234,Bottled Water 1.5L,Grocery,2,26.17,2022-03-01,52.34,351
TXN-04295,Peanuts 100G,Food & Snacks,6,27.3,2022-03-02,163.8,223
TXN-04449,"Bond Paper (Short, 10S)",School & Office Supplies,6,30.48,2022-03-02,182.88,217
TXN-04162,Highlighter,School & Office Supplies,7,45.15,2022-03-02,316.05,33
TXN-02030,Wireless Earbuds,Electronics,1,1340.09,2022-03-02,1340.09,264
TXN-02454,Toothpaste 75G,Personal Care,3,62.73,2022-03-02,188.19,252
TXN-03270,Mosquito Coil (10S),Household Supplies,2,57.51,2022-03-02,115.02,450
TXN-05558,Shampoo Sachet,Personal Care,2,7.8,2022-03-02,15.6,4
TXN-04350,Peanuts 100G,Food & Snacks,2,28.19,2022-03-02,56.38,221
TXN-05990,Toothpaste 75G,Personal Care,3,64.38,2022-03-02,193.14,96
TXN-02754,Ice Cream Cup,Food & Snacks,4,35.46,2022-03-03,141.84,195
TXN-04492,Bath Soap,Personal Care,1,46.85,2022-03-03,46.85,104
TXN-03174,Cooking Oil 1L,Grocery,4,86.57,2022-03-03,346.28,28
TXN-03015,Candle (6S),Household Supplies,1,46.7,2022-03-03,46.7,390
TXN-04641,Sugar 1Kg,Grocery,3,77.6,2022-03-03,232.8,5
TXN-02145,Sanitary Napkin (8S),Personal Care,4,79.0,2022-03-03,316.0,361
TXN-05217,Sponge Scrub (2S),Household Supplies,2,35.95,2022-03-03,71.9,192
TXN-05272,White Rice 2Kg,Grocery,9,125.78,2022-03-04,1132.02,197
TXN-02053,Usb Charging Cable,Electronics,1,146.33,2022-03-04,146.33,461
TXN-02969,Phone Case,Electronics,1,208.87,2022-03-04,208.87,344
TXN-03132,Stapler,School & Office Supplies,1,194.18,2022-03-05,194.18,198
TXN-01140,Deodorant Roll-On,Personal Care,4,84.74,2022-03-05,338.96,253
TXN-05241,Pencil,School & Office Supplies,1,9.99,2022-03-05,9.99,144
TXN-02301,Energy Drink 250Ml,Food & Snacks,5,43.14,2022-03-05,215.7,70
TXN-01831,Potato Chips 60G,Food & Snacks,9,34.91,2022-03-06,314.19,245
TXN-04395,Staple Wire,School & Office Supplies,6,34.96,2022-03-06,209.76,179
